x0,x1,x2,x3,x4
4.605630552271376,4.530783906150779,4.355054325483167,4.80792436660437,1.8596149916962037
4.641584626956762,4.4667992481093215,4.590803877274125,4.694396052358259,1.8817839285932472
4.366730514759602,4.391435916169458,4.617352568205709,4.517237561068788,1.7016786776503754
4.426400165095904,4.5311133211861945,4.556545917579988,4.7590036297424545,1.8398129300468642
4.579562966000056,4.604032575003404,4.430126224389206,4.4318678645069705,1.884457186299696
5.0829336300353445,4.60779731277928,4.833225352682609,4.635299997372808,1.7715941928643635
4.464161948607342,4.858824881755666,4.124810220577147,4.414608101270467,1.7900042943057128
4.6297726071188,4.654717496099829,4.599506557902138,4.582609012829022,1.8921641125205575
4.5103415891554635,4.435079628664995,4.460584771447256,4.361338759177773,1.7136611973138838
4.64393028767813,4.669152796592717,4.393216119711646,4.796845135511619,1.7866398367835092
