x0,x1,x2,x3,x4
5.526909092645152,5.465407955800764,5.2605607010705215,5.7453001404435575,2.2502308333474805
5.556308127533125,5.394889365648057,5.490025180997302,5.625328581850153,2.2690806826852365
5.314077541339406,5.3520764041504165,5.548480444553516,5.480692118694008,2.1055174465473625
5.316381702324981,5.434282486510157,5.431949427825716,5.665259866377277,2.2159659253278456
5.449649327506383,5.487153555076139,5.2860424131296,5.318052290276259,2.2533129955263305
6.034005188000359,5.572304742309158,5.768251035396818,5.6027832891711045,2.1586166444438515
5.403684152973708,5.811584301153149,5.048122844622567,5.370074778752684,2.189835569997131
5.540120574616569,5.57839017379755,5.4947638352006924,5.509332741194452,2.274718469949147
5.468810870998078,5.4071033117121825,5.402799088251348,5.336305813723012,2.1234502461224536
5.557590740659577,5.596162312297654,5.291543621615976,5.726793777431874,2.173582815661113
