#,Open,High,Low,Close,Volume,Stock
109,286.85,289.42,286.22,578.86,"2,831,300",286.93
110,291.01,291.57,282.29,566.94,"5,342,100",281.17
111,283.82,284.09,278.25,563.55,"6,472,500",280.37
112,279.81,282.44,278.3,559.55,"3,923,000",279.35
113,279.6,281.48,277.22,557.52,"4,707,200",279.355
114,279.12,281.21,277.5,562.96,"6,024,800",282.305
115,280.26,286.03,278.58,569.29,"5,012,400",288.27
116,285.72,291.05,285.49,579.94,"4,167,900",287.3
117,288.82,288.92,285.68,575.93,"4,710,800",284.825
118,288.84,288.84,280.81,563.66,"4,037,600",283.26
119,282.94,284.67,281.85,569.92,"4,472,400",280.305
120,282.61,282.98,277.63,559.16,"3,174,900",280.47
121,280.33,282.24,278.7,563.13,"2,710,500",283.935
122,282.79,285.92,281.95,567.74,"3,397,200",279.81
123,281.89,282.06,277.56,562.76,"3,856,100",287.005
124,286.41,288.98,285.03,578.48,"5,057,800",288.79
125,289.82,290.41,287.17,578.88,"3,323,300",290.515
126,288.92,293.11,287.92,586.22,"2,387,800",296.04
127,293.28,298.91,293.17,594.29,"4,709,200",292.985
128,295.12,295.65,290.32,584.38,"4,339,700",291.37
129,291.38,293.2,289.54,584.41,"3,443,000",291.7
130,293.99,295.11,288.29,580.11,"3,860,500",284.635
131,287.07,287.85,281.42,569.63,"7,024,700",282.45
132,282.5,284.9,280,568.92,"4,636,800",285.85
133,285.01,288.49,283.21,574.94,"3,966,700",286.665
134,287.11,288.51,284.82,573.35,"2,936,100",286.195
135,288.14,289.25,283.14,575.15,"3,372,700",288.875
136,287.41,290.76,286.99,579.17,"3,107,900",295.015
137,291.98,298.12,291.91,591.44,"9,384,300",301.65
138,303.24,305.33,297.97,609.15,"12,975,800",303.015
139,299.12,308.02,298.01,613.82,"7,150,000",304.425
140,306.35,307.81,301.04,605.91,"4,033,800",303.545
141,303.02,305.54,301.55,606.33,"3,659,600",305.58
142,306.35,307.28,303.88,611.68,"3,382,900",311.955
