566.44,566.44,551.41,556.93,13100,561.01
559.66,564.88,557.14,558.46,41200,560.43
565.34,565.45,555.41,555.45,10800,562.035
557.18,566.89,557.18,565.61,7900,581.91
598.35,603.17,560.65,565.45,147100,574.13
568.29,585.67,562.59,568.18,5099100,558.85
573.08,576.19,541.51,541.65,6369300,536.345
539.26,546.98,525.71,536.68,4401600,546.805
541.11,553.48,540.13,553.38,3151200,557.63
558.09,563.82,551.44,562.6,3330800,550.935
563.45,563.45,538.42,539.47,4036800,531.805
531.09,538.52,525.09,529.15,3924800,535.36
536.78,542.61,528.11,531.06,2575000,527.01
535.35,536.98,517.04,534.97,3855000,546.995
541.51,555.47,538.52,555.02,4893200,538.85
547.31,548,529.7,534.63,6809500,529.695
534.63,535.23,524.16,527.17,2566700,530.915
527.19,535.76,526.07,533.35,2365300,528.61
532.33,532.41,524.81,525.5,2052300,525.44
528.62,530.19,520.69,523.72,1883100,518.635
521.08,523.26,514.01,514.77,2100300,509.3
515.76,517.18,501.42,515.73,3335500,521.46
515.48,528.01,514.91,526.26,2699000,523.82
526.16,526.55,521.09,525.22,1751100,526.96
525.67,531.47,522.45,529.9,1905500,528.355
532.3,532.54,524.17,526.48,1688500,523.67
523.38,527.45,519.89,526.36,1024100,519.51
523.79,525.37,513.65,513.73,1689000,508.595
514.38,515.27,501.92,508.56,3224300,510.435
507.07,515.81,505.06,509.6,2021300,510.65
509.35,518.48,502.82,517.31,2439400,523.165
522.08,528.74,517.59,528.47,1912500,531.33
529.44,534.6,528.06,531.63,1653400,527.695
531.54,531.54,523.85,525.21,1191700,520.215
524.26,524.43,516,518.56,1704300,517.2
519.96,520.37,514.03,519.2,1485200,522.25
518.28,528.33,516.17,527.41,1277700,529.81
528.29,534.76,524.86,528.32,1784700,534.08
531.44,537.71,530.45,537.46,1196200,542.7
539.65,546.1,539.3,543.57,1615800,547.165
545.76,552.12,542.21,551.19,1932100,558.64
554.48,564.45,552.83,564.4,2104100,562.875
563.02,566.29,559.46,560.14,1652000,559.82
561.81,562.46,557.18,558.55,1354100,557.1
559.26,559.81,554.39,558.36,1771100,551.8
559.16,559.36,544.24,552.41,1435000,545.945
549.48,550.83,541.06,543.45,1866600,542.19
540.02,547.11,537.27,543.17,1816400,548.195
544.9,553.43,542.96,552.38,1689100,551.98
556.53,556.53,547.43,554.81,1736700,557.94
555.62,561.36,554.52,560.58,1467500,559.215
558.98,562.06,556.37,559.02,1351700,555.925
556.47,558.35,553.5,557.31,1100100,551.71
555.77,556.46,546.96,549.84,1458400,547.43
550.75,550.79,544.07,550.25,1220500,544.08
547.76,548.12,540.04,542.79,1702500,540.84
542.71,543.83,537.85,541.52,1444500,547.275
543.37,552.04,542.51,551.85,1741700,550.245
552.72,553.48,547.01,553.38,2456800,552.47
555.33,556.05,548.89,554.84,4508300,558.09
553.63,563.45,552.73,563.4,1536800,565.275
563.64,571.08,559.47,563.07,2207100,571.02
563.71,578.37,563.67,577.07,1969300,575.57
579.41,580.86,570.28,574.42,1741900,575.255
575.6,578.28,572.23,575.66,2236900,575.58
577.08,577.98,573.18,573.7,1313700,578.935
576.74,582.8,575.07,581.07,1447900,581.32
581.75,583.84,578.8,580.74,1056300,581.37
581.75,583.41,579.33,583.13,714100,581.41
582.16,584.82,578,580.66,1064600,571.26
576.08,577.94,564.58,569.53,1909500,571.48
570.02,575.14,567.82,574.5,1116700,569.235
564.36,575.01,563.46,569.54,1356700,574.56
570.34,579.26,569.86,577.59,1621700,580.03
581,583.61,576.45,583.27,1854000,579.59
584.14,584.2,574.98,583.18,1623000,583.7
586.39,586.79,580.61,581.06,1397100,573.225
577.94,579.4,567.05,572.16,3016500,587.79
591.38,595.17,580.41,593.45,4014100,588.2
590.13,592.77,583.63,587.86,2062100,593.495
589.1,598.01,588.98,593.11,1699100,593.545
591.61,596.21,590.88,594.35,1233100,594.005
594.82,597.86,590.15,591.73,1035100,587.83
588.78,590.24,585.42,587.41,932400,587.015
586.46,590.88,583.15,588.98,986800,585.005
587.14,588.09,581.92,584.01,1349800,585.145
584.94,587.89,582.4,585.81,1016400,575.245
579.01,582.05,568.44,570.03,2102700,567.845
568.84,574.38,561.31,564.52,1955200,568.165
567.48,573.77,562.56,571.58,1427300,565.74
568.49,570.41,561.07,563.52,1551200,563.805
560.24,569.14,558.47,564.82,1334300,563.945
566.44,568.33,559.56,561.82,1110900,563.755
562.02,568.69,558.82,567.21,1494700,566.69
568.43,568.93,564.45,566.33,1214700,561.845
562.97,564.35,559.34,561.19,1542000,568.815
565.76,573.43,564.2,573.21,1439200,572.82
574.6,576.32,569.32,573.08,985400,573.375
576.28,577.79,568.96,571.91,1519100,578.665
574.53,582.91,574.42,580.57,1284100,584.065
583.4,585.73,582.4,585.25,978600,583.03
584.28,585.09,580.97,582.89,1036700,581.225
582.22,582.9,579.55,581.77,914800,581.34
581.99,583.63,579.05,580.96,789000,580.405
583.12,583.4,577.41,578.61,1361400,577.605
579.67,580.21,575,576.28,1639600,572.725
575.69,576.91,568.54,569.44,1703300,568.615
568,571.68,565.55,567.64,1292900,567.995
569.77,570.47,565.52,570.03,1083700,572.94
570.28,576.25,569.63,575.75,1578400,577.41
578.41,581.39,573.43,576.36,1215100,581.015
578.41,584.4,577.63,580.39,1458100,582.65
582.38,584.94,580.36,584.48,1632300,587.42
584.99,590.15,584.69,588.11,1431000,582.9
587.29,587.39,578.41,579.42,1287200,578.63
579.91,581.9,575.36,581.5,977300,577.45
578.77,580.22,574.68,579.76,1221000,576.47
579.41,580.05,572.89,574.04,1601600,570.015
571.37,573.38,566.65,571.53,1597500,575.5
571.19,579.91,571.09,578.36,1480300,581.55
578.42,585.91,577.19,583.17,1692800,585.665
585.39,587.93,583.4,587.66,1444500,591.37
589.88,594.85,587.89,594.45,3736600,587.09
592.19,592.32,581.86,585.76,1689500,582.325
585.24,585.24,579.41,579.54,1471400,583.475
579.87,588.02,578.93,586.38,1728100,579.49
