Open,High,Low,Close,Volume,Stock,,Open,High,Low,Close,Volume
321.3,323.53,318.58,647.55,3651900,323.365,,0.086120299,0.085538151,0.081298895,0.215467938,0.145935122
322.31,325.53,321.2,645.25,4029400,326.195,,0.088182449,0.089580596,0.086448874,0.212298279,0.161053264
324.8,328.07,324.32,653.96,5096700,324.01,,0.093266364,0.094714502,0.092581672,0.224301641,0.203796556
325.5,327.07,320.95,646.63,3862900,322.41,,0.094695578,0.092693279,0.085957464,0.214200074,0.154385262
324.66,325.52,319.3,639.48,4638700,319.385,,0.092980522,0.089560384,0.082714157,0.204346568,0.185454545
319.19,322.54,316.23,645.15,4585400,320.45,,0.081812242,0.08353714,0.07667964,0.212160467,0.183319984
321.5,322.77,318.13,640.86,4105000,316.34,,0.086528646,0.084002021,0.080414357,0.206248363,0.164080897
318.03,318.31,314.37,633.41,3267300,315.07,,0.079443832,0.074987367,0.073023548,0.195981423,0.130532639
314.94,317.03,313.11,630.59,4654700,313.98,,0.073134877,0.072400202,0.070546841,0.192095145,0.186095314
313.07,316.48,311.48,629.11,4381600,313.59,,0.069316836,0.07128853,0.067342847,0.190055538,0.17515819
315.58,316.07,311.11,625.14,4982500,315.64,,0.074441586,0.070459828,0.06661556,0.18458443,0.199223068
315.8,316.81,314.47,634.22,4414300,322.14,,0.074890767,0.071955533,0.073220112,0.197097694,0.176467761
319.98,325.35,318.93,649.23,11556300,316.945,,0.083425211,0.089216776,0.08198687,0.217783168,0.462490989
322.57,323.28,310.61,622.89,16379700,305.225,,0.0887133,0.085032845,0.06563274,0.181483676,0.655658791
310.34,310.74,299.71,604.41,11426700,305.03,,0.063742905,0.05968671,0.044207257,0.156016151,0.457300761
303.14,307.69,302.37,607.9,6070400,302.77,,0.049042427,0.053521981,0.049435861,0.160825765,0.24279135
302.89,305.26,300.28,605.79,5358900,302.68,,0.048531994,0.048610409,0.045327672,0.157917947,0.214297157
301.71,306.98,298.38,597.66,6613800,300.045,,0.046122749,0.052086913,0.041592955,0.14671389,0.264553464
301,303.29,296.8,594.43,6139700,296.055,,0.044673119,0.0446286,0.038487243,0.142262586,0.24556668
295.34,298.11,294,595.96,4411900,299.86,,0.03311691,0.034158666,0.032983449,0.144371098,0.176371646
298,302.18,297.54,599.62,3872600,302.42,,0.038547919,0.042385043,0.039941817,0.149414991,0.154773728
300.87,304.53,300.31,608.05,3655800,305.78,,0.044407693,0.047134917,0.045386642,0.161032482,0.14609131
304.31,307.85,303.71,613.78,4200600,305.69,,0.051431255,0.053845376,0.05206982,0.168929069,0.167909491
306.36,307.22,304.16,613.3,3284900,303.035,,0.055616808,0.052572006,0.052954358,0.168267574,0.131237485
305.35,306.89,299.18,603.19,4832600,301.815,,0.053554657,0.051905003,0.043165468,0.154334854,0.193219864
300.77,304.66,298.97,602.78,4019600,301.05,,0.04420352,0.047397676,0.042752683,0.153769828,0.160660793
299.48,302.92,299.18,605.6,3235000,304.805,,0.041569684,0.043880748,0.043165468,0.157656106,0.129239087
303.67,306.27,303.34,609.35,3749900,300.05,,0.050124546,0.050651844,0.051342533,0.162824029,0.149859832
301.83,302.81,297.29,595.34,4431300,300.265,,0.046367757,0.043658413,0.039450407,0.143516668,0.177148578
296.39,304.14,296.39,605.89,4003800,303.265,,0.035260729,0.04634664,0.03768133,0.158055758,0.160028034
301.63,307.3,299.23,611.11,5374600,303.41,,0.04595941,0.052733704,0.04326375,0.165249507,0.214925911
302.28,307.04,299.78,607.48,4675000,305.46,,0.047286537,0.052208186,0.044344852,0.160246958,0.18690829
305.34,306.94,303.98,611.98,3083200,303.695,,0.05353424,0.052006064,0.052600543,0.166448465,0.123159792
304.04,306.13,301.26,603.57,4214400,301.14,,0.050879987,0.050368873,0.047254,0.154858537,0.168462155
299.27,303.11,299.17,602.35,3662400,303.55,,0.04114092,0.04426478,0.043145811,0.153177239,0.146355627
301.54,306.35,300.75,609.44,4219900,310.345,,0.045775654,0.050813542,0.046251523,0.162948059,0.168682419
307.83,313.87,306.82,627.21,9706300,313.595,,0.058618155,0.066013138,0.058182962,0.187437124,0.388402082
315.73,317.73,309.46,621.34,6732700,306.135,,0.074747846,0.073815058,0.063372253,0.179347601,0.269315178
311.38,315.03,297.24,598.76,11991700,302.79,,0.065866307,0.068357756,0.039352125,0.148229814,0.479927913
299.13,306.7,298.88,612.43,6173800,301.325,,0.040855078,0.05152097,0.042575775,0.167068616,0.246932319
305.57,305.76,296.89,599.16,6126600,300.555,,0.054003838,0.049621021,0.038664151,0.148781059,0.24504205
299.7,303.66,297.45,607.79,6379900,301.57,,0.042018866,0.045376453,0.039764909,0.160674173,0.255186223
303.44,304.82,298.32,602.01,3796600,296.39,,0.049654947,0.047721071,0.041475017,0.152708681,0.151730076
299.38,299.74,293.04,589.91,7190500,295.755,,0.041365511,0.037453259,0.031096434,0.136033516,0.287649179
296.79,298.45,293.06,592.71,5230900,292.76,,0.036077423,0.034845882,0.031135747,0.139892232,0.209171005
292.98,294.84,290.68,586.62,3827600,291.16,,0.02829842,0.027549267,0.026457523,0.131499525,0.152971566
293.26,293.9,288.42,579.27,5958800,284.185,,0.028870105,0.025649318,0.022015175,0.121370395,0.238321986
284.83,285.26,283.11,569.42,6138700,286.55,,0.011658296,0.008185953,0.011577623,0.107795984,0.245526632
284.05,289.16,283.94,577.01,4883500,285.085,,0.010065744,0.016068722,0.013209105,0.11825586,0.19525831
286.65,287.99,282.18,568.85,4697200,287.815,,0.01537425,0.013703891,0.009749577,0.10701046,0.187797357
287.16,289.9,285.73,578.98,4207200,290.2,,0.016415534,0.017564426,0.016727602,0.120970743,0.168173809
292.7,292.85,287.55,576.65,3530100,287.82,,0.027726734,0.023527034,0.020305067,0.11775974,0.141057269
286.85,289.42,286.22,578.86,2831300,286.93,,0.015782596,0.01659424,0.017690765,0.120805369,0.113071686
291.01,291.57,282.29,566.94,5342100,281.17,,0.024276206,0.020939869,0.009965798,0.104378264,0.213624349
283.82,284.09,278.25,563.55,6472500,280.37,,0.009596145,0.005821122,0.00202461,0.099706462,0.258894674
279.81,282.44,278.3,559.55,3923000,279.35,,0.001408796,0.002486104,0.002122892,0.094194011,0.156792151
279.6,281.48,277.22,557.52,4707200,279.355,,0.000980032,0.00054573,0,0.091396442,0.188197837
279.12,281.21,277.5,562.96,6024800,282.305,,0,0,0.000550379,0.098893375,0.240965158
280.26,286.03,278.58,569.29,5012400,288.27,,0.002327576,0.009742294,0.002673271,0.10761683,0.200420505
285.72,291.05,285.49,579.94,4167900,287.3,,0.013475438,0.019888833,0.016255848,0.122293731,0.16659992
288.82,288.92,285.68,575.93,4710800,284.825,,0.01980481,0.015583628,0.016629319,0.116767499,0.18834201
288.84,288.84,280.81,563.66,4037600,283.26,,0.019845645,0.01542193,0.00705665,0.099858054,0.161381658
282.94,284.67,281.85,569.92,4472400,280.305,,0.00779942,0.006993431,0.009100916,0.108485041,0.178794553
282.61,282.98,277.63,559.16,3174900,280.47,,0.007125648,0.003577564,0.000805913,0.093656547,0.126832199
280.33,282.24,278.7,563.13,2710500,283.935,,0.002470497,0.00208186,0.002909148,0.099127655,0.108233881
282.79,285.92,281.95,567.74,3397200,279.81,,0.00749316,0.00951996,0.00929748,0.105480755,0.135734882
281.89,282.06,277.56,562.76,3856100,287.005,,0.0056556,0.001718039,0.000668318,0.098617753,0.154112936
286.41,288.98,285.03,578.48,5057800,288.79,,0.014884234,0.015704901,0.015351653,0.120281686,0.202238686
289.82,290.41,287.17,578.88,3323300,290.515,,0.021846543,0.01859525,0.019558124,0.120832931,0.13277533
288.92,293.11,287.92,586.22,2387800,296.04,,0.020008984,0.024052552,0.021032354,0.130948279,0.095310372
293.28,298.91,293.17,594.29,4709200,292.985,,0.02891094,0.035775644,0.031351968,0.14206965,0.188277934
295.12,295.65,290.32,584.38,4339700,291.37,,0.032667728,0.029186458,0.025749892,0.128412552,0.173480176
291.38,293.2,289.54,584.41,3443000,291.7,,0.025031647,0.024234462,0.024216692,0.128453895,0.137569083
293.99,295.11,288.29,580.11,3860500,284.635,,0.03036057,0.028094997,0.021759641,0.12252801,0.154289147
287.07,287.85,281.42,569.63,7024700,282.45,,0.016231778,0.01342092,0.008255691,0.108085388,0.281009211
282.5,284.9,280,568.92,4636800,285.85,,0.006901058,0.007458312,0.005464481,0.107106928,0.185378454
285.01,288.49,283.21,574.94,3966700,286.665,,0.012025808,0.014714502,0.011774187,0.115403167,0.158542251
287.11,288.51,284.82,573.35,2936100,286.195,,0.016313447,0.014754927,0.014938869,0.113211968,0.117268722
288.14,289.25,283.14,575.15,3372700,288.875,,0.018416432,0.016250632,0.011636592,0.115692571,0.134753704
287.41,290.76,286.99,579.17,3107900,295.015,,0.016925967,0.019302678,0.019204309,0.121232584,0.124148979
291.98,298.12,291.91,591.44,9384300,301.65,,0.026256687,0.034178878,0.02887526,0.138142028,0.375506608
303.24,305.33,297.97,609.15,12975800,303.015,,0.049246601,0.048751895,0.040787042,0.162548406,0.519339207
299.12,308.02,298.01,613.82,7150000,304.425,,0.04083466,0.054188984,0.040865668,0.168984193,0.286027233
306.35,307.81,301.04,605.91,4033800,303.545,,0.05559639,0.053764528,0.046821559,0.158083321,0.161229475
303.02,305.54,301.55,606.33,3659600,305.58,,0.048797419,0.049176352,0.047824036,0.158662128,0.146243492
306.35,307.28,303.88,611.68,3382900,311.955,,0.05559639,0.052693279,0.052403978,0.166035032,0.135162195
308.29,316.31,307.6,633.22,7125900,316.835,,0.059557352,0.070944922,0.059716161,0.195719582,0.285062074
316.84,320.1,313.57,630.57,4389700,315,,0.07701417,0.078605356,0.071451036,0.192067583,0.175482579
312.96,317.06,312.94,631.24,3745100,316.535,,0.069092245,0.072460839,0.070212682,0.192990918,0.149667601
317.46,318.56,314.51,630.95,3702900,314.18,,0.078280044,0.075492673,0.073298738,0.192591266,0.147977573
311.59,317.82,310.54,627.03,3970100,318.77,,0.066295071,0.073996968,0.065495145,0.187189063,0.158678414
318.81,320.66,316.88,639.57,3808300,320.95,,0.081036384,0.079737241,0.077957306,0.204470598,0.152198638
318.61,323.48,318.42,641.06,3578000,318.99,,0.080628037,0.085437089,0.080984393,0.206523986,0.142975571
319.7,320.93,317.05,638.79,3978300,319.895,,0.082853526,0.080282971,0.078291465,0.20339567,0.159006808
318.33,321.73,318.06,640.47,2654200,320.77,,0.080056352,0.081899949,0.080276762,0.205710899,0.105979175
321.05,321.98,319.56,640.59,2148500,318.4,,0.085609866,0.082405255,0.083225223,0.205876273,0.085726872
318.1,319.92,316.88,640.24,2879800,325.485,,0.079586753,0.078241536,0.077957306,0.205393934,0.115014017
322.5,328.84,322.13,658.2,6560200,331.72,,0.088570379,0.096270844,0.088276919,0.23014484,0.262406888
328.39,335.17,328.27,666.83,7350800,333.34,,0.100596186,0.109065184,0.100345953,0.242037953,0.294068883
333.89,335.87,330.81,665.71,4839400,334.175,,0.111825718,0.11048004,0.10533868,0.240494467,0.193492191
332.51,336.06,332.29,671.03,3448200,335.98,,0.109008126,0.110864073,0.108247828,0.247826027,0.137777333
335.8,337.36,334.6,675.29,4371600,336.62,,0.115725428,0.113491662,0.112788458,0.253696788,0.174757709
336.49,338.17,335.07,673.69,3529300,333.79,,0.117134224,0.115128853,0.113712309,0.251491807,0.14102523
335.3,337.73,329.85,667.68,4461000,335.57,,0.114704561,0.114239515,0.103451665,0.243209349,0.178338006
332.44,339.03,332.11,675.33,3832600,336.61,,0.108865205,0.116867105,0.107894013,0.253751912,0.153171806
335.88,338.97,334.25,674.95,3581700,337.365,,0.115888766,0.116745831,0.112100484,0.253228229,0.143123748
336.54,338.95,335.78,676.77,2863800,331.57,,0.11723631,0.116705407,0.115107914,0.255736395,0.114373248
330.26,334.75,328.39,667.39,5246900,334.335,,0.104414227,0.108216271,0.10058183,0.242809696,0.209811774
331.26,337.54,331.13,675.4,4132600,340.01,,0.10645596,0.113855483,0.105967685,0.25384838,0.165186223
337.42,343.21,336.81,686.13,6002900,340.615,,0.119033035,0.125315816,0.117132523,0.268635531,0.240088106
340.84,342.41,338.82,679.81,3265900,340.875,,0.126015762,0.123698838,0.121083461,0.259925858,0.130476572
340.72,343,338.75,683.21,4270000,338.355,,0.125770754,0.124891359,0.120945866,0.264611441,0.170688827
341,341.22,335.49,679.18,3793200,340.135,,0.126342439,0.121293583,0.114537878,0.259057646,0.151593913
338.73,341.97,338.3,678.86,3429100,344.865,,0.121707706,0.1228095,0.120061328,0.25861665,0.137012415
341.7,348.64,341.09,697.49,6109700,351.165,,0.127771653,0.136291056,0.125545465,0.284290892,0.244365238
348.69,354.8,347.53,704.22,6490100,351.48,,0.142043366,0.148741789,0.138204191,0.293565591,0.259599519
353.55,355.07,347.89,698.85,5139100,346.615,,0.151966189,0.149287519,0.138911821,0.286165125,0.205494594
347.68,349.02,344.21,690.29,3761500,342.665,,0.139981216,0.137059121,0.131678264,0.27436848,0.150324389
343.42,346.16,339.17,688.99,5304300,348.58,,0.131283433,0.131278423,0.121771435,0.272576933,0.212110533
345.25,353.18,343.98,704.11,5337900,353.675,,0.135019805,0.145467408,0.131226167,0.293413999,0.213456147
353.48,355.17,352.18,707.74,5256500,353.145,,0.151823268,0.149489641,0.14734442,0.298416548,0.210196235
352.73,355.11,351.18,708.04,3027800,355.03,,0.150291968,0.149368368,0.145378779,0.298829982,0.120941129
352.57,357.99,352.07,716.31,4149000,359.895,,0.149965291,0.15518949,0.147128199,0.310226975,0.165843012
357.41,362.92,356.87,725.51,6219700,361.79,,0.159847278,0.165154118,0.156563274,0.322905613,0.248770525
360.88,364.32,359.26,726.13,5836500,364.895,,0.166932092,0.16798383,0.161261155,0.323760043,0.233424109
364.74,366.09,363.7,731.98,12765800,368.69,,0.174813181,0.171561395,0.169988599,0.331822003,0.510929115
364.14,373.62,363.76,747.33,7154200,376.725,,0.173588142,0.186781203,0.170106538,0.352976035,0.286195435
375.12,381.02,372.43,747.11,12162400,374.16,,0.19600637,0.201738252,0.187148642,0.35267285,0.486764117
373.52,379.2,369.12,751.4,11388200,377.21,,0.192739597,0.198059626,0.180642371,0.358584954,0.455758911
378.56,380,374.42,754.43,7891600,376.2,,0.203029932,0.199676604,0.191060267,0.362760636,0.315726872
375.67,378.23,374.17,752.43,5587700,378.88,,0.197129323,0.19609904,0.190568856,0.36000441,0.223460152
378.11,381.07,376.69,759.69,6359700,377.645,,0.202111152,0.201839313,0.195522271,0.370009509,0.254377253
381.17,381.56,373.73,754.92,5601200,377.615,,0.208358855,0.202829712,0.189703975,0.363435911,0.224000801
376.45,380.53,374.7,760.41,4433100,380.895,,0.198721875,0.200747852,0.191610646,0.37100175,0.177220665
379.95,383.51,378.28,765.95,4926700,383.41,,0.205867941,0.206771097,0.198647639,0.378636495,0.196988386
383.92,385.74,381.08,765.55,5492200,378.015,,0.213973621,0.211278423,0.204151433,0.37808525,0.219635563
379.08,380.36,375.67,755.77,3931800,374.56,,0.204091633,0.200404245,0.193517317,0.364607307,0.157144573
378.42,379.24,369.88,742.05,6028900,370.07,,0.202744089,0.198140475,0.182136258,0.345699599,0.241129355
369.54,372.37,367.77,742.52,4095000,375.785,,0.1846135,0.184254674,0.177988757,0.346347312,0.163680416
375.04,377.83,373.74,749.42,4785600,373.345,,0.195843032,0.195290551,0.189723631,0.35585629,0.191337605
374.52,376.03,370.66,742.71,4826400,367.26,,0.19478133,0.19165235,0.183669458,0.346609153,0.192971566
369.58,370.53,363.99,738.95,6060700,369.475,,0.184695169,0.180535624,0.170558635,0.341427449,0.242402883
368.68,372.1,366.85,742.66,4131800,372.755,,0.18285761,0.183708944,0.176180367,0.346540248,0.165154185
370.59,376.76,368.75,753.42,4602900,357.515,,0.18675732,0.193127842,0.179915084,0.361368742,0.184020825
376.36,378.29,336.74,693.1,24977900,343.39,,0.198538119,0.196220313,0.116994929,0.278240977,1
351.47,352.03,334.75,679.92,23050400,337.32,,0.147719384,0.143143002,0.113083304,0.26007745,0.922807369
339.23,341.04,333.6,676.81,8141500,338.565,,0.122728572,0.120929763,0.110822817,0.255791519,0.325734882
334.75,342.38,334.75,678.49,5855000,339.295,,0.113581608,0.123638201,0.113083304,0.258106749,0.234164998
342.12,342.22,336.37,675.45,5011600,337.615,,0.12862918,0.123314805,0.116267642,0.253917286,0.200388466
