Date,Open,High,Low,Close,Adj Close,Volume,,,Open,High,Low,Close,Volume,,Open,High,Low,Close,Volume,Stock
6/18/2014,64.489998,65.75,64.050003,65.599998,65.599998,35570000,,max,215.720001,218.619995,214.270004,217.5,169803700,,0.007742261,0.006111436,0.012100506,0.018353354,0.180955467,64.8950005
6/19/2014,65.459999,65.580002,64.209999,64.339996,64.339996,34245000,,min,63.310001,64.809998,62.209999,62.759998,5913100,,0.014106679,0.005006189,0.013152696,0.01021065,0.172870805,64.079998
6/20/2014,64.459999,64.809998,63.349998,64.5,64.5,46466000,,,,,,,,,0.00754543,-1.30031E-08,0.007497027,0.011244668,0.24743884,64.9400025
6/23/2014,64.32,65.660004,64.220001,65.370003,65.370003,34560000,,,,,,,,,0.006626862,0.005526325,0.013218473,0.016867022,0.174792819,66.2199975
6/24/2014,65.360001,67.169998,65.269997,65.720001,65.720001,57335000,,,,,,,,,0.013450568,0.015343593,0.020123616,0.019128868,0.31375747,66.5250015
6/25/2014,65.580002,67.480003,65.57,67.440002,67.440002,44308000,,,,,,,,,0.014894049,0.017359099,0.022096541,0.030244294,0.23427152,67.450001
6/26/2014,68,68,66.900002,67.129997,67.129997,47714000,,,,,,,,,0.030772259,0.020739874,0.030843101,0.028240901,0.255053676,67.2699965
6/27/2014,67.309998,67.699997,66.839996,67.599998,67.599998,46461000,,,,,,,,,0.026244984,0.018789396,0.030448481,0.03127826,0.247408332,67.5249975
6/30/2014,67.459999,67.919998,67.129997,67.290001,67.290001,27102800,,,,,,,,,0.027229178,0.020219739,0.032355629,0.029274919,0.129291735,67.9150005
7/1/2014,67.580002,68.440002,67.389999,68.059998,68.059998,33243000,,,,,,,,,0.028016547,0.023600559,0.034065494,0.034250989,0.166756971,67.045002
7/2/2014,68.040001,68.300003,65.790001,66.449997,66.449997,41895000,,,,,,,,,0.031034716,0.022690352,0.023543345,0.023846433,0.219548284,66.380001
7/3/2014,66.860001,67,65.760002,66.290001,66.290001,25203200,,,,,,,,,0.023292441,0.014238346,0.023346061,0.022812466,0.117701076,65.8450015
7/7/2014,66.300003,66.57,65.120003,65.290001,65.290001,28745000,,,,,,,,,0.019618155,0.011442689,0.019137202,0.016350013,0.139311834,63.8849985
7/8/2014,65.059998,65.559998,62.209999,62.759998,62.759998,68926000,,,,,,,,,0.011482173,0.004876133,-6.57635E-09,-1.29249E-08,0.384481477,64.1350025
7/9/2014,63.41,65.120003,63.150002,64.970001,64.970001,51432000,,,,,,,,,0.000656125,0.002015493,0.006181784,0.014282028,0.277739541,64.1949975
7/10/2014,63.310001,65.339996,63.049999,64.870003,64.870003,44422000,,,,,,,,,6.56125E-09,0.003445784,0.005524129,0.013635796,0.234967106,65.6899985
7/11/2014,65.279999,66.589996,64.790001,66.339996,66.339996,39212000,,,,,,,,,0.012925654,0.011572694,0.016966993,0.023135556,0.203177608,67.535
7/14/2014,67.129997,68.169998,66.900002,67.900002,67.900002,38537000,,,,,,,,,0.025063952,0.021845121,0.030843101,0.033217022,0.199059006,67.174999
7/15/2014,67.959999,68.089996,66.260002,67.169998,67.169998,44213200,,,,,,,,,0.030509803,0.021324985,0.026634236,0.028499405,0.233693086,67.505001
7/16/2014,67.540001,67.940002,67.07,67.660004,67.660004,29541600,,,,,,,,,0.027754091,0.020349795,0.031961068,0.031666046,0.144172393,66.9449995
7/17/2014,67.029999,67.849998,66.040001,66.410004,66.410004,38188000,,,,,,,,,0.024407841,0.019764632,0.025187433,0.02358798,0.196929537,67.3100015
7/18/2014,66.800003,68.459999,66.160004,68.419998,68.419998,42456000,,,,,,,,,0.02289878,0.02373057,0.025976614,0.036577472,0.222971299,69.2299995
7/21/2014,68.809998,69.959999,68.5,69.400002,69.400002,49539000,,,,,,,,,0.036086858,0.033482862,0.041365251,0.042910702,0.266189153,69.189999
7/22/2014,69.760002,69.769997,68.610001,69.269997,69.269997,40398000,,,,,,,,,0.042320071,0.032247559,0.042088656,0.042070551,0.210414142,70.4700015
7/23/2014,69.739998,71.330002,69.610001,71.290001,71.290001,78435000,,,,,,,,,0.04218882,0.042389975,0.048665007,0.055124732,0.442501888,75.625
7/24/2014,75.959999,76.739998,74.510002,74.980003,74.980003,124168000,,,,,,,,,0.082999797,0.077563214,0.080889136,0.078971197,0.721547789,75.165001
7/25/2014,74.989998,75.669998,74.660004,75.190002,75.190002,45917000,,,,,,,,,0.076635378,0.07060658,0.081875602,0.080328306,0.244089045,74.674999
