Open,High,Low,Close,Volume,Stock
0.859982974,0.85397571,0.86479026,0.857632164,0.05285416,192.415001
0.839380651,0.841752805,0.844008964,0.847356889,0.049312163,190.375
0.847910196,0.832780664,0.826252834,0.8207962,0.063090257,189.635002
0.8272423,0.818607379,0.830856261,0.819309765,0.040225614,188.0149995
0.812873151,0.812430947,0.815796363,0.813558188,0.043040296,187.294998
0.819762483,0.813926273,0.804813863,0.81155484,0.040669813,183.1349945
0.788596549,0.784214245,0.780152545,0.76761014,0.066631033,180.7950055
0.782166551,0.771601359,0.762133408,0.762375572,0.07148061,183.6500015
0.768387888,0.79624211,0.774759989,0.798177614,0.066103852,186.8150025
0.798766505,0.804694116,0.807839031,0.802830587,0.042955484,185.9300005
0.797388597,0.798192588,0.802775214,0.791909028,0.027898488,182.7999955
0.777967358,0.776412431,0.783638005,0.775235886,0.027084531,184.794998
0.795617131,0.785969683,0.800210437,0.788807076,0.009699763,185.175003
0.796666859,0.792731324,0.798369071,0.792038303,0.020139654,181.784996
0.781510386,0.774266914,0.772458227,0.763280309,0.041830953,182.2300035
0.7809199,0.772511573,0.780086821,0.764508194,0.017661782,183.080002
0.775736454,0.779533236,0.784164126,0.785511167,0.054488787,182.955002
0.788596549,0.778557948,0.78350655,0.771810792,0.04200729,182.1849975
0.785840837,0.771536285,0.780481382,0.777109959,0.016281593,178.8499985
0.76746932,0.752421774,0.755951624,0.741308007,0.056826932,168.029999
0.73282593,0.716728451,0.649743489,0.655228086,0.305975449,164.5599975
0.658749472,0.672713081,0.648625516,0.676877343,0.244865782,166.675003
0.683485309,0.675573766,0.673549947,0.681207173,0.084478304,168.4649965
0.68886558,0.681945238,0.690648402,0.682241192,0.039863787,171.3549955
0.701135083,0.709056596,0.701236328,0.714682732,0.06714357,175.830002
0.731185618,0.734997731,0.733855077,0.724182545,0.054028724,178.3849945
0.755659051,0.748780938,0.753518302,0.745379385,0.057071608,176.0750045
0.755002985,0.744164905,0.727804847,0.725604194,0.071918097,176.32
0.736303386,0.736102978,0.739181908,0.741308007,0.038687393,180.919998
0.768978381,0.760873779,0.774628436,0.766253083,0.066267376,186.955002
0.798504002,0.810675509,0.803630172,0.815884678,0.14367389,190.904999
