Date,Open,High,Low,Close,Adj Close,Volume,,,Open,High,Low,Close,Volume,,Open,High,Low,Close,Volume,Stock
6/18/2014,231.5,231.710007,226.119995,227.119995,227.119995,6940200,,Max,386.690002,389.609985,379.350006,385,33649700,,0.364938413,0.327054241,0.35698697,0.345792048,0.189132164,231.154999
6/19/2014,228.880005,235.309998,227,227.789993,227.789993,8793100,,Min,142.320007,154.970001,141.050003,143.669998,710300,,0.354216987,0.342396855,0.360679815,0.348568321,0.245383947,228.744995
6/20/2014,228.520004,231.289993,226.199997,229.589996,229.589996,4903900,,,,,,,,,0.352743807,0.325264205,0.35732269,0.356027,0.12731258,233.605003
6/23/2014,229.509995,238.990005,228.220001,237.220001,237.220001,7791100,,,,,,,,,0.356795003,0.358080485,0.365799417,0.38764348,0.21496445,236.755005
6/24/2014,238.970001,241.880005,231.630005,232.5,232.5,8075900,,,,,,,,,0.395506818,0.370397226,0.380109127,0.368085195,0.22361063,233.895004
6/25/2014,233.050003,237.550003,230.240005,236.889999,236.889999,5801600,,,,,,,,,0.371281266,0.351943415,0.374276144,0.386276049,0.154565657,237.3050005
6/26/2014,237.169998,240.399994,234.210007,235.600006,235.600006,5121400,,,,,,,,,0.388140926,0.364089644,0.390935825,0.380930701,0.133915615,237.25
6/27/2014,234.690002,240,234.5,239.059998,239.059998,5635000,,,,,,,,,0.377992397,0.36238493,0.392152749,0.395267882,0.149507884,241.7450025
6/30/2014,239.550003,244.490005,239,240.059998,240.059998,4828600,,,,,,,,,0.397880276,0.381520649,0.411036509,0.399411586,0.125026564,241.0699995
7/1/2014,242.460007,243.440002,238.699997,239.720001,239.720001,4336100,,,,,,,,,0.409788464,0.377045696,0.409777579,0.398002739,0.110074865,234.7000045
7/2/2014,240.660004,242.330002,227.070007,229.429993,229.429993,8027400,,,,,,,,,0.402422572,0.372315044,0.360973592,0.355363995,0.22213823,227.949997
7/3/2014,231.289993,231.899994,224,229.25,229.25,5166700,,,,,,,,,0.364079032,0.327863936,0.348090642,0.354618158,0.135290867,225.0899965
7/7/2014,227.5,229.779999,220.399994,222.660004,222.660004,5893700,,,,,,,,,0.348569792,0.31882884,0.332983609,0.327311167,0.157361701,217.6150055
7/8/2014,218.649994,220.960007,214.270004,219.070007,219.070007,7836200,,,,,,,,,0.312354192,0.281239375,0.307259773,0.312435284,0.216333631,221.715004
7/9/2014,221.270004,224.220001,219.210007,223.059998,223.059998,4115400,,,,,,,,,0.32307568,0.295132974,0.327989958,0.328968624,0.103374682,219.129997
7/10/2014,217.179993,222.220001,216.039993,219.460007,219.460007,4863900,,,,,,,,,0.30633872,0.286609278,0.314687339,0.314051328,0.126098229,219.600006
7/11/2014,220.610001,221.600006,217.600006,218.130005,218.130005,3302300,,,,,,,,,0.320374846,0.283966954,0.321233764,0.308540194,0.078689958,222.119995
7/14/2014,219.990005,228.789993,215.449997,226.699997,226.699997,7203200,,,,,,,,,0.317837726,0.314609585,0.312211486,0.344051701,0.197116523,222.875
7/15/2014,226.729996,227.649994,218.100006,219.580002,219.580002,5718500,,,,,,,,,0.345418816,0.309751083,0.32333196,0.314548552,0.152042842,220.810005
7/16/2014,221.820007,224.800003,216.820007,217.160004,217.160004,4044500,,,,,,,,,0.325326378,0.297604854,0.317960583,0.304520797,0.101222244,217.0750045
7/17/2014,216.160004,220.550003,213.600006,215.399994,215.399994,4649400,,,,,,,,,0.302164767,0.279492001,0.3044482,0.297227837,0.119586271,218.57
7/18/2014,215.949997,221.210007,215.929993,220.020004,220.020004,4253700,,,,,,,,,0.301305385,0.282304837,0.314225736,0.31637179,0.107573301,219.965004
7/21/2014,217.25,223.210007,216.720001,220.539993,220.539993,3822200,,,,,,,,,0.306625199,0.290828533,0.317540919,0.31852647,0.094473488,221.205002
7/22/2014,222.190002,223.300003,219.110001,219.580002,219.580002,2730000,,,,,,,,,0.326840455,0.291212082,0.327570294,0.314548552,0.061315628,222.0899965
